triplet_id,variant_type,input_hinglish,gemma_translation,reference_en
1,base,train kaha tak jati hai,where does the train go?,where does the train go
1,topic_fronting,kaha tak jati hai train,where does the train go,where does the train go
1,emphasis_shift,jati hai kaha tak train,how far did the train go,where does the train go
2,base,bus timing check karna hai,check bus timing,just need to check the timing
2,topic_fronting,timing check karna hai bus ka,Timing check the bus,just need to check the timing
2,emphasis_shift,check karna hai bus ka timing,check the timing of the bus,just need to check the timing
3,base,station ke paas taxi available hai kya,Is there a taxi available near the station?,Are taxis available near the station?
3,topic_fronting,taxi available hai kya station ke paas,Is there a taxi available at the station?,Are taxis available near the station?
3,emphasis_shift,available hai kya station ke paas taxi,Is there a taxi available at the station?,Are taxis available near the station?
4,base,flight ka boarding pass print karwana hai,print boarding pass for flight,Have to print flight boarding pass
