triplet_id,variant_type,input_hinglish,llama_translation,reference_en
1,base,train kaha tak jati hai,The train goes how far.,where does the train go
1,topic_fronting,kaha tak jati hai train,How far does the train go.,where does the train go
1,emphasis_shift,jati hai kaha tak train,How far is the train station.,where does the train go
2,base,bus timing check karna hai,I need to check the bus timings.,just need to check the timing
2,topic_fronting,timing check karna hai bus ka,I need to check the bus's timing.,just need to check the timing
2,emphasis_shift,check karna hai bus ka timing,We need to check the bus timing.,just need to check the timing
3,base,station ke paas taxi available hai kya,Is there a taxi available near the station?,Are taxis available near the station?
3,topic_fronting,taxi available hai kya station ke paas,Is there a taxi available near the station?,Are taxis available near the station?
3,emphasis_shift,available hai kya station ke paas taxi,Is there a taxi available near the station?,Are taxis available near the station?
4,base,flight ka boarding pass print karwana hai,We need to print the boarding pass for the flight.,Have to print flight boarding pass
4,topic_fronting,boarding pass print karwana hai flight ka,I need to print the boarding pass for the flight.,Have to print flight boarding pass
4,emphasis_shift,print karwana hai flight ka boarding pass,I need to print the boarding pass for the flight.,Have to print flight boarding pass
5,base,auto ka meter on karlo please,Please turn on the car's meter.,auto ka meter on karlo please
5,topic_fronting,meter on karlo please auto ka,Can you please meter the auto.,auto ka meter on karlo please
5,emphasis_shift,on karlo auto ka meter please,Please turn on the car's meter.,auto ka meter on karlo please
6,base,highway pe speed limit follow karo,Follow the speed limit on the highway.,highway pe speed limit follow karo
6,topic_fronting,speed limit follow karo highway pe,Please follow the speed limit on the highway.,highway pe speed limit follow karo
6,emphasis_shift,follow karo highway pe speed limit,Follow the speed limit on the highway.,highway pe speed limit follow karo
7,base,luggage ka weight check ho gaya kya,Did the luggage weight check happen?,Has the weight of the luggage been checked?
7,topic_fronting,weight check ho gaya kya luggage ka,Did they weigh our luggage?,Has the weight of the luggage been checked?
7,emphasis_shift,check ho gaya kya luggage ka weight,Has the weight of the luggage been checked.,Has the weight of the luggage been checked?
8,base,train platform number change ho gaya,The train platform number has been changed.,train platform number changed
8,topic_fronting,platform number change ho gaya train ka,The platform number of the train has been changed.,train platform number changed
8,emphasis_shift,change ho gaya train ka platform number,The train's platform number has changed.,train platform number changed
9,base,flight delay ka reason bata sakte ho,You can explain the reason for the flight delay.,Can you tell the reason for the flight delay?
9,topic_fronting,reason bata sakte ho flight delay ka,Can you explain the reason for the flight delay?,Can you tell the reason for the flight delay?
9,emphasis_shift,bata sakte ho flight delay ka reason,You can tell us the reason for the flight delay.,Can you tell the reason for the flight delay?
10,base,ticket ka refund online mil jayega kya,Will I get a ticket refund online?,Will I get ticket refund online?
10,topic_fronting,refund online mil jayega kya ticket ka,Will I get a refund for the ticket online?,Will I get ticket refund online?
10,emphasis_shift,mil jayega online refund ticket ka kya,Will I get a refund for the online ticket.,Will I get ticket refund online?
11,base,pizza ka order cancel karna padega,The pizza order needs to be cancelled.,Pizza order will have to be canceled
11,topic_fronting,order cancel karna padega pizza ka,The pizza order will have to be cancelled.,Pizza order will have to be canceled
11,emphasis_shift,cancel karna padega pizza ka order,The pizza order will have to be cancelled.,Pizza order will have to be canceled
12,base,chai me extra sugar add kar do,Can you please add extra sugar in my tea.,add extra sugar to tea
12,topic_fronting,extra sugar add kar do chai me,Add extra sugar to the tea.,add extra sugar to tea
12,emphasis_shift,add kar do chai me extra sugar,Add extra sugar to the tea.,add extra sugar to tea
13,base,pasta thoda spicy bana dena,Make the pasta a bit spicy.,make pasta a little spicy
13,topic_fronting,thoda spicy bana dena pasta,Make the pasta a bit spicier.,make pasta a little spicy
13,emphasis_shift,spicy bana dena pasta thoda,Make the pasta a bit spicy.,make pasta a little spicy
14,base,juice ka bill pay kar diya kya,Has the juice bill been paid?,Have you paid the juice bill?
14,topic_fronting,bill pay kar diya kya juice ka,Have you paid the bill and got the juice?,Have you paid the juice bill?
14,emphasis_shift,pay kar diya juice ka bill kya,What's the bill for the juice?,Have you paid the juice bill?
15,base,biryani me raita include hota hai kya,Is biryani served with raita or not?,Is raita included in biryani?
15,topic_fronting,raita include hota hai kya biryani me,Does raita go well with biryani?,Is raita included in biryani?
15,emphasis_shift,include hota hai biryani me raita kya,"What is included in biryani, is raita hot or not.",Is raita included in biryani?
16,base,cold coffee thodi kam sweet chahiye,I would like a cold coffee that's a bit less sweet.,Cold coffee should be a little less sweet
16,topic_fronting,kam sweet chahiye cold coffee thodi,I would like a little less sugar in my cold coffee.,Cold coffee should be a little less sweet
